GS689_rep1	GS689_rep2	GS689_rep3	PC3E_rep1	PC3E_rep2	PC3E_rep3	gene_name
ENSG00000000003.14_2	41.8955334772542	40.0248438765868	39.32028644202	46.1958167261273	42.6956183596659	48.2672744325322	TSPAN6
ENSG00000000419.12_4	81.3760441165999	76.2450307480324	76.7980320626726	68.5007054961496	68.393753392333	69.5337579379249	DPM1
ENSG00000000457.14_4	3.88165477619474	3.63864193324974	2.86490318906059	3.43143524452077	4.19886003062245	3.84731945713334	SCYL3
ENSG00000000460.17_6	15.8190373176925	10.2191454830177	11.5354561544059	23.6331260608952	11.5747858003134	21.1531210132246	C1orf112
ENSG00000000971.15_2	0.538055389804161	1.11743296697979	0.760673726526006	1.6767445294607	1.83262089995637	2.44312530884148	CFH
ENSG00000001036.13_2	52.2090858926045	47.0642484618052	52.8556843468111	73.0520278230673	41.7285176676257	61.972314690418	FUCA2
ENSG00000001084.13_7	49.9638169410207	40.4738800960358	37.1871995965334	46.3466625924926	71.1488035025716	54.0681066479314	GCLC
ENSG00000001167.14_3	44.5963037291003	41.9545442750648	32.2890564564916	32.2621148848533	29.1515186973176	36.8543101511374	NFYA
ENSG00000001460.18_4	13.4940451142963	13.0694005432507	13.6757486528016	9.495699347483	9.94594599068927	8.7447427526718	STPG1
ENSG00000001461.17_3	29.0883512672092	29.2384542790649	26.8124894133076	25.6055405469426	20.4837932831395	23.4952942328999	NIPAL3
ENSG00000001497.16_2	63.2427128467603	52.9188036132889	61.4642234664069	70.371524394024	57.7202326688636	66.0189027092675	LAS1L
ENSG00000001561.7_3	6.28599701493441	5.8491303997593	4.56528752413345	6.94184355288509	3.41535001423095	4.59659113342766	ENPP4
ENSG00000001617.12_4	63.7384664920312	61.8472763485142	44.5289371599488	20.5930298888679	45.3942660641474	25.2502659977879	SEMA3F
ENSG00000001626.15_6	0.94145358477604	0.765316531799809	0.796203143767272	0.659424866841446	0.281300945774206	1.53656394666344	CFTR
ENSG00000001629.10_4	51.0918330184422	47.1425090972752	28.8829299553983	30.5971547050419	22.3218362682793	32.3065903952071	ANKIB1
ENSG00000001630.17_7	49.9423501524123	68.1071494277616	48.3425452664032	33.274999335444	69.9079761437897	44.8970238786911	CYP51A1
ENSG00000001631.15_7	26.0453826272758	22.0839596492712	19.5421148204184	23.3154249369042	17.3353922678818	21.2943697947818	KRIT1
ENSG00000002016.17_4	15.8247378294255	13.9362620852729	9.71666017315387	21.6498209722117	17.965387484296	18.7616350368087	RAD52
ENSG00000002079.14_3	0.46770520825557	0.500296818892478	0.3339736517516	1.77754326616023	0.968478373599195	1.68122432348516	MYH16
ENSG00000002330.13_6	140.530251972991	154.937470993542	189.219399662785	125.186297764311	120.653431074312	142.034142432763	BAD
ENSG00000002549.12_3	32.986170618505	27.2614294453994	31.5021877119495	38.4304192397729	29.8890204441928	39.0914309873049	LAP3
ENSG00000002586.20_6	156.062037946873	227.244612487158	194.071680241805	126.294302657668	155.950478805344	139.56843421183	CD99
ENSG00000002587.10_5	1.18298259359748	1.97212692113306	1.36536479012475	3.7733156468907	2.52806231131969	2.58761085595214	HS3ST1
ENSG00000002746.15_4	4.762961115397	3.9213382179377	4.22786170214748	2.37643286885216	0.826913574208044	1.50811489069025	HECW1
ENSG00000002822.15_5	24.2442387034465	25.0974272637649	26.9867854182174	26.1863219724831	18.6323181868359	23.9104567793735	MAD1L1
ENSG00000002834.18_4	134.994132556296	132.658454044337	130.345919446516	84.7837504227852	78.5157390849078	106.201146939934	LASP1
ENSG00000002919.14_2	20.454936706026	22.027433794488	20.376842764731	17.9351954989338	18.5679439659621	18.5514768037848	SNX11
ENSG00000002933.9_7	0.381604201942643	0.562115363895639	1.17478449339121	0.188675183058266	0.0140445641732455	0.236485419122189	TMEM176A
