r.squared	coefficient	intercept
chr10:105770573-105770666|+|105768114|105777917	0.804914017331918	-1.17098850678795	0.443111689151149
chr10:114724314-114724383|+|114711366|114799783	0.48625208756339	-1.49864152909233	0.611658702214266
chr10:114918425-114918476|+|114917828|114920377	0.467996763255741	1.12176934676871	-0.287604776822786
chr10:114920377-114920450|+|114917828|114925313	0.567967055842805	-1.27144978490112	0.730681166849968
chr10:114920377-114920450|+|114918476|114925313	0.565741417329145	-1.16311425819374	0.553498842432393
chr10:114920377-114920450|+|114919751|114925313	0.502888864207829	-1.17136062091096	0.692957996304163
chr10:11523768-11523921|-|11505848|11526969	0.000460703843018507	0.403391278241722	-0.278236591210677
chr10:11639629-11639716|-|11569566|11653441	0.000776746784250822	0.242120626202018	-0.114147626176504
chr10:11904910-11905041|+|11894214|11908529	0.0546952870785039	-1.19593140942227	0.20210562301805
chr10:120488806-120488909|-|120467099|120513907	0.000235968067329618	-0.193369095668937	0.309399249338463
chr10:120489795-120489922|-|120467099|120513907	1.05872763678973e-05	-0.0509521952280558	0.168873158675562
chr10:12130984-12131254|+|12129728|12133511	0.000301386057026053	0.287396636904501	-0.162153337920161
chr10:12133511-12133683|+|12131254|12136071	0.00210131717269204	-0.743052223131161	0.850920137397846
chr10:12133511-12133683|+|12131254|12139682	0.00396110506698696	-1.16667162459363	1.27291794267066
chr10:12148244-12148395|+|12143180|12154898	9.40554274653271e-08	-0.00472186258513679	0.123007641383596
chr10:12149907-12150014|+|12143180|12154898	2.7505677312864e-06	0.0161740632705893	0.101955532091604
chr10:12154898-12155063|+|12150014|12159671	0.00160762713859159	-0.418551886360618	0.508359648332916
chr10:121657938-121658471|+|121652457|121662310	0.00408256905478989	1.08309724305914	-0.938133938119706
chr10:121689118-121689274|+|121685739|121689840	0.010417201351472	2.32472822671906	-2.1745297487547
chr10:123276832-123276977|-|123274833|123278195	0.57360849638057	0.769831561764732	-0.304026609458035
chr10:123278195-123278343|-|123276977|123279492	0.595878396948638	-0.785451546706849	0.455433848476342
chr10:124187791-124187832|+|124186547|124189139	0.522510215379323	1.10826027758699	-0.189300969258405
chr10:124187791-124187936|+|124186547|124189139	0.443025746286014	1.39875925777816	-0.121422492066142
chr10:13330359-13330541|-|13325839|13336427	0.00998468520957861	-0.819580840491969	0.887313266252502
chr10:13333824-13333912|-|13325839|13336427	0.0120781436846869	-0.978249382275889	1.04179000292353
chr10:13333830-13333912|-|13325839|13336427	0.0120895858295484	-1.00143053999366	1.0650517898189
chr10:13340186-13340241|-|13337606|13341419	0.00271191980068942	-0.429946585423862	0.530821992977061
chr10:13340186-13340245|-|13337606|13341419	0.0025470684399123	-0.428418841686743	0.529794325043512
chr10:13633767-13633888|+|13629152|13639457	0.00601256977796848	-0.608472543584924	0.167871060826568
chr10:13655740-13655881|+|13653683|13656014	0.0223912168241933	1.35984927361848	-1.13358742011182
chr10:13655740-13655881|+|13653683|13658397	0.0184184223629087	1.04404514108691	-0.855691478379592
chr10:13656014-13656086|+|13653683|13658397	0.0109707753009115	0.748241037915762	-0.572874710302612
chr10:14884132-14884845|+|14882156|14885369	8.14952773022809e-05	-0.029676840137831	0.141875182111503
chr10:14893217-14893322|+|14891810|14894368	0.000919507267914843	0.405712487482352	-0.278268906766269
chr10:15257994-15258109|-|15256600|15262942	0.000296764824260452	-0.0561594318113799	0.182096030517375
chr10:15290637-15290814|-|15263059|15296719	0.00596850660792577	0.619566615469264	-0.472940226987487
chr10:15290637-15290814|-|15263059|15317853	0.00507465230497055	0.537111772495451	-0.385872172284153
chr10:15296719-15296878|-|15263059|15317853	0.00367053206051902	0.677368829521728	-0.536301368662665
chr10:15296719-15296878|-|15290814|15317853	0.000242068991387182	-0.218388565975039	0.340422158578366
chr10:15713601-15713646|-|15702921|15714622	0.000548188764090117	-0.0862396628801725	0.431961308145732
chr10:17201144-17201228|-|17199783|17216549	0.000178686482124556	0.183191164667716	-0.0568086387762477
chr10:17203481-17203547|-|17202373|17204164	0.00379461485605319	-0.277559359140452	0.38230150344672
chr10:17204164-17204236|-|17203547|17210839	3.97934941491516e-06	-0.0128376068484231	0.132784899973797
chr10:17210839-17210916|-|17204236|17216549	0.00458444767386444	-0.260484836966925	0.357604099588437
chr10:17211308-17211538|-|17210916|17216549	0.00208361457329478	-0.151854457532617	0.147552897961749
chr10:17702462-17702547|+|17686378|17726673	0.0028133052925607	-0.929218569836267	1.02346730165746
chr10:17714973-17715077|+|17702547|17726673	7.50310312511518e-05	0.12798443979883	0.115181585274354
chr10:17726673-17726749|+|17702547|17730025	0.00257004075913219	0.271402218917443	-0.116773780717697
chr10:17726673-17726749|+|17702547|17735220	0.00210033438244555	0.665747254733258	-0.532387827684349
chr10:17726830-17726926|+|17686378|17730025	0.00069121070715708	0.560703291605527	-0.435127370497198
chr10:17726830-17726926|+|17702547|17730025	0.00245979762318043	0.274156853348039	-0.120796759812809
chr10:17730025-17730172|+|17702547|17735220	0.00163753818700219	0.888088707077551	-0.757225486470465
chr10:22607581-22607642|+|22607235|22607887	0.000104427460347472	-0.181977733227041	0.297626153095088
chr10:22616523-22616579|+|22615915|22617062	0.0109648933799262	1.37165918021391	-1.22704116829585
chr10:22616878-22616987|+|22615915|22617062	0.0101984284514135	1.32994454317583	-1.18642427291313
chr10:24831621-24831699|+|24825822|24833909	0.461066115395237	-1.04179366575647	0.762849726534867
chr10:24831811-24833410|+|24825822|24833909	0.561190485595091	-0.998988080742814	0.643486509129098
chr10:4875541-4875658|+|4873034|4877866	0.00472950785402856	-0.226367131814524	0.309133910546097
chr10:4875541-4875658|+|4873034|4884612	0.00164178073867053	-0.196712962108943	0.296016927548225
chr10:4879650-4879773|+|4878001|4881920	0.00127690062016509	0.192808940108801	-0.0866701922427332
